division,high_school,percent_degree_type,degree_type,source,,,,
FCPS,Chantilly High School,22,Bachelor's Degree,https://schoolquality.virginia.gov/download-data,,,,
FCPS,Chantilly High School,75,Master's Degree,https://schoolquality.virginia.gov/download-data,,,,
FCPS,Chantilly High School,2,Doctoral Degree,https://schoolquality.virginia.gov/download-data,,,,
FCPS,Chantilly High School,1,Other,,,,CHS Total %,100
