division,pyramid,middle_school,ethnicity,pop_num,pop_percentage,source,Latitude,Longitude
FCPS,Fairfax,Katherine Johnson,Asian,268,25.07,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,0",38.86035,-77.32729
FCPS,Fairfax,Katherine Johnson,Black (Not Of Hispanic Origin),111,10.38,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,1",38.86035,-77.32729
FCPS,Fairfax,Katherine Johnson,Hispanic Or Latino,245,22.92,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,2",38.86035,-77.32729
FCPS,Fairfax,Katherine Johnson,White (Not Of Hispanic Origin),380,35.55,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,3",38.86035,-77.32729
FCPS,Fairfax,Katherine Johnson,Other,65,6.08,"https://schoolprofiles.fcps.edu/schlprfl/f?p=108:13:::NO::P0_CURRENT_SCHOOL_ID,P0_EDSL:501,4",38.86035,-77.32729
